doi	title	publisher	publicationYear
10.15493/dea.mims.08152023	Long-term observations of daily bottom currents along the SAMBA transect at PIES Mooring P1 (October 2019 – October 2021)	Department of Forestry, Fisheries and the Environment	2023
10.6084/m9.figshare.19613914.v4	MCR-1-dependent lipid remodelling compromises the viability of Gram-negative bacteria	Taylor & Francis	2023
10.25934/pr00009407	Validation of new exercse models and therapy optimization	Vivli	2023
10.5061/dryad.pnvx0k6sk	Data from: Glucocorticoids negatively relate to body mass on the short-term in a free-ranging ungulate	Dryad	2023
10.5285/7f5b221e-d251-4bac-9252-16b4553dc345	Physico-chemical water properties and greenhouse gas measurements across a tidal cycle, Clyde estuary, Scotland, 2020-2022	NERC EDS Environmental Information Data Centre	2023
10.5285/f6b9b2b3-1ad0-4ac1-a19b-bb340427fbf1	Freshwater macroinvertebrate family abundances in spring and autumn, England, 2002-2019	NERC EDS Environmental Information Data Centre	2023
10.5285/419af5cd-8adc-4400-9a28-d8e1d48b0bd7	Soil water release curves and hydraulic conductivity measurements at four long-term grassland-to-woodland land use contrasts across England	NERC EDS Environmental Information Data Centre	2023
10.5285/d370cda8-7d3d-4b62-8d09-23711aa18ac2	Climate change exposure estimates for the UK at 1 km resolution, 1901-2080	NERC EDS Environmental Information Data Centre	2023
10.5285/d417b1b9-eaba-4b9d-ba2c-dfb53973b113	Aquatic carbon isotope composition in natural and restoration pools in blanket peatlands in Scotland and Northern Ireland, 2014-2015	NERC EDS Environmental Information Data Centre	2023
10.5285/ab13a06f-392f-4bc6-b1bf-06dd8b020307	Peat depths from the Pastaza-Marañón Basin, Amazonian Peru, 2019-2020	NERC EDS Environmental Information Data Centre	2023
10.5285/b06a08bc-39e5-4401-87dd-9568fd5048fd	Radiocarbon dating of charcoal pieces from soil in intact forest permanent plots in the Amazon Basin, 2015-2019	NERC EDS Environmental Information Data Centre	2023
10.5285/2dcc08e9-d8e6-4675-b78d-a318efc799d8	Temperature and humidity data supporting use of an in situ passive heating method, and associated whole tree responses, Cerrado, Brazil, 2020	NERC EDS Environmental Information Data Centre	2023
